evidence_feature,family,decision,reason
freq_spectral_entropy,frequency,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': -1.0, 'stylegan2_ood': -1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': -1.0, 'df40_pixart': -1.0, 'df40_sd21': -1.0, 'midjourney': 1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
freq_band_ratio_high_mid,frequency,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': 1.0, 'stylegan2_ood': 1.0, 'df40_dit': -1.0, 'df40_sit': 1.0, 'df40_ddim': 1.0, 'df40_pixart': 1.0, 'df40_sd21': 1.0, 'midjourney': 1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
freq_band_ratio_high_low,frequency,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': 1.0, 'stylegan2_ood': 1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': -1.0, 'df40_pixart': -1.0, 'df40_sd21': -1.0, 'midjourney': 1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
freq_band_ratio_mid_low,frequency,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': 1.0, 'stylegan2_ood': 1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': -1.0, 'df40_pixart': -1.0, 'df40_sd21': -1.0, 'midjourney': -1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
freq_high_energy_frac,frequency,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': 1.0, 'stylegan2_ood': 1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': -1.0, 'df40_pixart': -1.0, 'df40_sd21': -1.0, 'midjourney': 1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
freq_radial_powerlaw_slope,frequency,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': 1.0, 'stylegan2_ood': 1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': 1.0, 'df40_pixart': -1.0, 'df40_sd21': -1.0, 'midjourney': 1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
freq_powerlaw_residual_std,frequency,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': -1.0, 'stylegan2_ood': -1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': -1.0, 'df40_pixart': 1.0, 'df40_sd21': -1.0, 'midjourney': -1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
freq_logmag_mean,frequency,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': 1.0, 'stylegan2_ood': 1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': -1.0, 'df40_pixart': -1.0, 'df40_sd21': -1.0, 'midjourney': 1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
tex_local_variance_mean,texture,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': 1.0, 'stylegan2_ood': -1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': -1.0, 'df40_pixart': -1.0, 'df40_sd21': -1.0, 'midjourney': 1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
tex_local_variance_std,texture,ACCEPT_FOR_NEXT_STAGE,Direction-consistent across all 8 sources with usable data; AUROC clears 0.6 bar on 6/8 fake sources (>= 5 required); no strong within-source or between-source resolution/face-size confound detected (between-source median-vs-log(resolution) rho=-0.24).
tex_lbp_entropy,texture,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': 1.0, 'stylegan2_ood': 1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': -1.0, 'df40_pixart': -1.0, 'df40_sd21': -1.0, 'midjourney': -1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
tex_lbp_uniformity,texture,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': -1.0, 'stylegan2_ood': -1.0, 'df40_dit': 1.0, 'df40_sit': 1.0, 'df40_ddim': 1.0, 'df40_pixart': 1.0, 'df40_sd21': 1.0, 'midjourney': 1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
tex_glcm_contrast,texture,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': 1.0, 'stylegan2_ood': -1.0, 'df40_dit': -1.0, 'df40_sit': -1.0, 'df40_ddim': -1.0, 'df40_pixart': -1.0, 'df40_sd21': -1.0, 'midjourney': 1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
tex_glcm_homogeneity,texture,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': -1.0, 'stylegan2_ood': -1.0, 'df40_dit': 1.0, 'df40_sit': 1.0, 'df40_ddim': 1.0, 'df40_pixart': 1.0, 'df40_sd21': 1.0, 'midjourney': -1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
tex_glcm_energy,texture,REJECT,"Effect direction (sign of Cohen's d) flips across fake sources (signs: {'aiguard_unseen': -1.0, 'stylegan2_ood': -1.0, 'df40_dit': 1.0, 'df40_sit': 1.0, 'df40_ddim': -1.0, 'df40_pixart': 1.0, 'df40_sd21': 1.0, 'midjourney': -1.0}). Direction-inconsistent candidates are rejected per rubric regardless of AUROC magnitude."
