artifact_path,artifact_type,phase,model_version,checkpoint_provenance,source_script,generated_at,sha256,status,allowed_usage,notes
./shufflenet_v2_layer1_v811d.pth,checkpoint,Phase 1,v8.11 (Layer1d),"VERIFIED - pipeline.py LAYER1_WEIGHTS_PATH, hash computed this pass",AIGuard/train_v811_layer1d.py,2026-08-10 (per CLAUDE.md/TODO.md narrative; file mtime not independently re-checked against training-completion time in this pass),3C61CF6886D2F9D4871B52749A15FD4E1B979D121C664BA85D9B069194C290B7,production,production_evidence,size=10313868 bytes
./shufflenet_v2_layer2_v811.pth,checkpoint,Phase 1,v8.11 (Layer2 v811),"VERIFIED - pipeline.py LAYER2_WEIGHTS_PATH, hash computed this pass",AIGuard/train_v811_layer2.py,pre-2026-08-10 (unchanged since original v8.11 Layer2 training; not the b/c variants),8470AD52DADCDB44A6789067EFBBD7FBC20715CB3F4E3339630191889A55057E,production,production_evidence,size=10313499 bytes
./artifact_classifier_v3.pth,checkpoint,Phase 1,v3 (artifact/filter-subtype classifier),"VERIFIED - pipeline.py ARTIFACT_WEIGHTS_PATH, hash computed this pass",AIGuard/train_artifact_classifier_v3.py,not independently confirmed this pass,C5589C1839619BB3747F6562E188C83FD57CB856EE8FC4E7FB3C29E639B4C286,production,production_evidence,size=5209219 bytes
./face_landmarker.task,checkpoint,Phase 1,MediaPipe FaceLandmarker (third-party),"VERIFIED - pipeline.py FACE_LANDMARKER_PATH, hash computed this pass","N/A (third-party pretrained model, not trained by this project)",N/A,64184E229B263107BC2B804C6625DB1341FF2BB731874B0BCC2FE6544E0BC9FF,production,production_evidence,size=3758596 bytes; load-bearing for the 2026-08-11 face-presence gate
./shufflenet_v2_layer1_v811c.pth,checkpoint,Phase 1,v8.11 Layer1c (superseded),"VERIFIED file exists, superseded by v811d",AIGuard/train_v811_layer1c.py,2026-08-01,NOT COMPUTED (out of release scope; historical only),historical,historical_comparison,"STILL the default weights in eval_v811_gates.py, AIGuard/stress_test_v811_pipeline.py, AIGuard/eval_ali_ood_v811.py, AIGuard/eval_robustness.py when no CLI args given -- live footgun risk, see RELEASE_BOUNDARY.md"
./shufflenet_v2_layer2_v811c.pth,checkpoint,Phase 1,v8.11 Layer2c (superseded),"VERIFIED file exists, superseded by Layer2 v811",AIGuard/train_v811_layer2c.py,unknown,NOT COMPUTED (out of release scope),historical,unverifiable_do_not_cite,"Per TODO.md 2026-08-11 entry, was PREVIOUSLY MISTAKENLY reported as v8.11 final numbers in an earlier report. Forbidden as production evidence."
./shufflenet_v2_layer2_v815a_v814clean.pth,checkpoint,Phase 3 (research),v8.15a variant,UNVERIFIABLE - zero code/doc references found by repo-wide grep,UNKNOWN (orphan),2026-08-12 (file mtime only),NOT COMPUTED,orphan,unverifiable_do_not_cite,Must NOT be deleted; awaiting human decision. See ORPHAN_AND_UNVERIFIABLE_REGISTER.md
./pipeline.py,script,Phase 1,v8.11 (production entry point),VERIFIED - is itself the authority for LAYER1/LAYER2/ARTIFACT weight paths,N/A (is the script),N/A,603584EFBE791F9135805392C2309AB683EF4DFDFB4AC9401C51ED668D2DDFC4,production,production_evidence,size=32184 bytes; NOT modified by this task
./mobile_fft.py,script,Phase 3,v8.11 (TFLite-compatible FFT branch rewrite),"VERIFIED - mathematically equivalent rewrite per CLAUDE.md, verified by verify_mobile_fft.py",N/A (is the script),N/A,31FD54024CB14FD7FAE69DC4EFDA8102EC698F65DDF54B79F5E3E4F03191E66A,production,production_evidence,size=5197 bytes
./export_mobile_tflite.py,script,Phase 3,v8.11,VERIFIED - produces the fp32 TFLite artifacts in results/mobile_export/,N/A (is the script),N/A,954D37FC70B5AD33C596EF42A889991F8386B764D507B9CF745ACF79F568EE7C,production,production_evidence,size=9450 bytes
