relative_path,asset_type,required,source,purpose,sha256,license_status,distribution_status,notes
shufflenet_v2_layer1_v811d.pth,checkpoint,yes,frozen v8.11 production release (docs/releases/v8.11_production/RELEASE_MANIFEST.json),"Reference Layer1 checkpoint for reproducing pipeline.py behavior; read-only baseline, Member B must not modify",TBD,internal (project-owned),internal team only,Expected SHA256 3C61CF6886D2F9D4871B52749A15FD4E1B979D121C664BA85D9B069194C290B7 -- dry-run script must confirm match
shufflenet_v2_layer2_v811.pth,checkpoint,yes,frozen v8.11 production release,Reference Layer2 checkpoint,TBD,internal (project-owned),internal team only,Expected SHA256 8470AD52DADCDB44A6789067EFBBD7FBC20715CB3F4E3339630191889A55057E -- dry-run script must confirm match
artifact_classifier_v3.pth,checkpoint,yes,frozen v8.11 production release (pipeline.py ARTIFACT_WEIGHTS_PATH),The 4-way filter-type classifier Member B is validating against external sources,TBD,internal (project-owned),internal team only,
face_landmarker.task,checkpoint,yes,MediaPipe (third-party pretrained model),Face-presence gate used throughout pipeline.py and filter-generation scripts,TBD,"third-party (MediaPipe/Google), redistribution terms not audited this round",internal team only pending license check,"Flag for license audit per DATA_SHARING_STRATEGY.md hard rule, even for internal handoff"
results/phase2_p0_v811_filter_gradcam_validation_20260813.json,xai_evidence,yes,phase2_p0_v811_filter_gradcam_validation.py (production v8.11d/v811 re-validation),Authoritative production Filter XAI validation (IoU/PointingGame per filter type),TBD,internal (project-generated),internal team only,
results/xai_filter_localization_results_v1_20260812.csv,xai_evidence,yes,generate_landmark_gt.py pipeline,Per-image paired-GT localization results backing Tier A claims,TBD,internal (project-generated),internal team only,
results/gt_vs_gradcam/gt_vs_gradcam_eye_enlarging.png,figure,yes,generate_gt_vs_gradcam_figures.py,"Visual GT-vs-heatmap comparison, eye_enlarging (region-level Tier A example)",TBD,internal (project-generated),internal team only,
results/gt_vs_gradcam/gt_vs_gradcam_face_reshaping.png,figure,no,generate_gt_vs_gradcam_figures.py,"Visual GT-vs-heatmap comparison, face_reshaping",TBD,internal (project-generated),internal team only,"optional reference, not required for the immediate B task"
results/gt_vs_gradcam/gt_vs_gradcam_smoothing.png,figure,no,generate_gt_vs_gradcam_figures.py,"Visual GT-vs-heatmap comparison, smoothing",TBD,internal (project-generated),internal team only,optional reference
results/gt_vs_gradcam/gt_vs_gradcam_whitening.png,figure,no,generate_gt_vs_gradcam_figures.py,"Visual GT-vs-heatmap comparison, whitening (known PointingGame regression case)",TBD,internal (project-generated),internal team only,optional reference
results/xai_faithfulness_blur_v1_20260813.json,xai_evidence,yes,xai_faithfulness_blur_test.py,"Fake-class (Layer1/fake_head) Grad-CAM++ faithfulness validation, production checkpoint",TBD,internal (project-generated),internal team only,
results/phase2_composite_explanation_v1_20260813.jsonl,xai_evidence,yes,phase2_composite_explanation.py,"Fake+filter composite explanation protocol samples (P2-C1), AIGuard-only in-domain",TBD,internal (project-generated),internal team only,"in-domain (AIGuard/fake) scope only, do not generalize -- see docs/EXPERIMENT_REGISTRY.md P2-C1"
results/phase2_composite_explanation_v1_20260813_summary.json,xai_evidence,yes,phase2_composite_explanation.py,Summary stats for P2-C1,TBD,internal (project-generated),internal team only,
results/phase2_composite_filtertype_accuracy_v1_20260813.json,xai_evidence,yes,phase2_composite_filtertype_accuracy.py,P2-C2: artifact_classifier_v3 type accuracy on fake+filter composites (whitening=6%% unreliable finding),TBD,internal (project-generated),internal team only,
FFHQ_ali_process/Whitening_60/,external_validation_data,yes,"RetouchingFFHQ (arXiv:2307.10642), Alibaba single-operation block",VERIFIED_SINGLE_TYPE exact-type-accuracy benchmark subset (per TEAM_WORK_ALLOCATION.md Member B narrowed scope),"N/A (directory, ~3000 images -- dry-run reports file count + total size, not a single hash)","third-party (RetouchingFFHQ / Alibaba), NOT license-audited -- see DATA_SHARING_STRATEGY.md hard rule",BLOCKED pending license/redistribution audit,"3,000 PNG files under FFHQ_ali_process/Whitening_60/<index_block>/*.png"
FFHQ_ali_process/Whitening_90/,external_validation_data,yes,"RetouchingFFHQ (arXiv:2307.10642), Alibaba single-operation block",VERIFIED_SINGLE_TYPE exact-type-accuracy benchmark subset,"N/A (directory, ~3000 images)","third-party (RetouchingFFHQ / Alibaba), NOT license-audited",BLOCKED pending license/redistribution audit,"3,000 PNG files under FFHQ_ali_process/Whitening_90/<index_block>/*.png"
"FFHQ_ali_process/EyeEnlarging_30/ (representative COARSE_OR_MIXED sample, e.g. first 200 images only)",external_validation_data,no,"RetouchingFFHQ (arXiv:2307.10642), Alibaba single-operation block","COARSE_OR_MIXED prediction-distribution/overclaim audit ONLY -- must NOT be counted into exact-type accuracy, per TEAM_WORK_ALLOCATION.md Member B narrowed scope",N/A (directory subset),"third-party (RetouchingFFHQ / Alibaba), NOT license-audited",BLOCKED pending license/redistribution audit,"Representative only -- full folder not required for the distribution-audit use case; same COARSE_OR_MIXED status applies to all other EyeEnlarging_*/FaceLifting_*/Smoothing_*/Whitening_30 folders, not enumerated individually here"
results/phase2/filter_data_xai_provenance_audit_20260814/FILTER_DATA_PROVENANCE.csv,gt_pair_manifest,yes,Phase 2 Filter Data and XAI Provenance Audit (this engagement),Per-family provenance record Member B's work directly extends,TBD,internal (project-generated),internal team only,
results/phase2/filter_data_xai_provenance_audit_20260814/FILTER_XAI_CLAIM_MATRIX.md,gt_pair_manifest,yes,Phase 2 Filter Data and XAI Provenance Audit,Family x claim-type verdict matrix governing what wording is defensible,TBD,internal (project-generated),internal team only,
results/phase2/filter_data_xai_provenance_audit_20260814/ARTIFACT_TAXONOMY_ALIGNMENT.md,gt_pair_manifest,yes,Phase 2 Filter Data and XAI Provenance Audit,Design basis for unknown_or_mixed_retouch proposal,TBD,internal (project-generated),internal team only,
