base_id,source,source_stem,resolution_condition,filter_type,base_image_sha256,base_resolution,resized_resolution,resize_method,face_bbox,final_model_input_shape,filter_params,jpeg_policy,output_path,output_sha256,status,note
repl0001_clean,DF40-cdf-DiT,27001,native,clean,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,256x256,"N/A (reused existing file, not regenerated)",,"224x224 (pipeline.py transform_infer, applied uniformly at inference)",{},"N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\v815_replication_set\repl0001_clean.jpg,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,OK_REUSED_EXISTING,
repl0001_clean,DF40-cdf-DiT,27001,canonical_256,clean,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,256x256,2,"97.2,75.4,130.5,160.8","224x224 (pipeline.py transform_infer, applied uniformly at inference)",{},"N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\results\research\p1_r1_5_resolution_causal_audit_20260814\resolution_controlled_images\repl0001_clean_canonical256_clean.png,ba1a9a2ff724368f81fac2b8180c629e768b2742a1b3c1656534147a7e5c07dd,OK_GENERATED,
repl0001_clean,DF40-cdf-DiT,27001,canonical_256,smoothing_medium,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,256x256,2,"97.2,75.4,130.5,160.8","224x224 (pipeline.py transform_infer, applied uniformly at inference)","{'strength': 'medium', 'bilateral_d_sigmaColor_sigmaSpace': [15, 80, 80]}","N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\results\research\p1_r1_5_resolution_causal_audit_20260814\resolution_controlled_images\repl0001_clean_canonical256_smoothing_medium.png,716d68cccb1d3a2f0fcd1dd844b455e9b2e21a9d189c4a12a8d2a4bfc927f40e,OK_GENERATED,
repl0001_clean,DF40-cdf-DiT,27001,canonical_256,whitening_medium,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,256x256,2,"97.2,75.4,130.5,160.8","224x224 (pipeline.py transform_infer, applied uniformly at inference)","{'strength': 'medium', 'lab_L_shift_fraction': 0.15}","N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\results\research\p1_r1_5_resolution_causal_audit_20260814\resolution_controlled_images\repl0001_clean_canonical256_whitening_medium.png,5ff0aa0ed24956b5bb02e484ce8f9d1f29c69b55e64915776c9c10ccfdc2fc85,OK_GENERATED,
repl0001_clean,DF40-cdf-DiT,27001,canonical_256,eye_enlarging,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,256x256,2,"97.2,75.4,130.5,160.8","224x224 (pipeline.py transform_infer, applied uniformly at inference)","{'scale': 1.18, 'radius_factor': 1.7}","N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\results\research\p1_r1_5_resolution_causal_audit_20260814\resolution_controlled_images\repl0001_clean_canonical256_eye_enlarging.png,d44efe58f026052bfcbe91a0dd4a3edc2f12442c7370a257a4104e57f42a8e7f,OK_GENERATED,
repl0001_clean,DF40-cdf-DiT,27001,canonical_256,face_reshaping,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,256x256,2,"97.2,75.4,130.5,160.8","224x224 (pipeline.py transform_infer, applied uniformly at inference)","{'shrink_ratio': 0.92, 'radius_px_FIXED': 60.0}","N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\results\research\p1_r1_5_resolution_causal_audit_20260814\resolution_controlled_images\repl0001_clean_canonical256_face_reshaping.png,c08226cea3d4347d05bbb7499e1aa56ea076947d9022f52b3973b46ec34729b0,OK_GENERATED,
repl0001_clean,DF40-cdf-DiT,27001,canonical_512,clean,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,512x512,2,"194.8,151.2,261.2,321.6","224x224 (pipeline.py transform_infer, applied uniformly at inference)",{},"N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\results\research\p1_r1_5_resolution_causal_audit_20260814\resolution_controlled_images\repl0001_clean_canonical512_clean.png,1119294546f2b63b4b7a5390dc762468ec2e2fa07c2061166b4be20299a016b3,OK_GENERATED,
repl0001_clean,DF40-cdf-DiT,27001,canonical_512,smoothing_medium,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,512x512,2,"194.8,151.2,261.2,321.6","224x224 (pipeline.py transform_infer, applied uniformly at inference)","{'strength': 'medium', 'bilateral_d_sigmaColor_sigmaSpace': [15, 80, 80]}","N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\results\research\p1_r1_5_resolution_causal_audit_20260814\resolution_controlled_images\repl0001_clean_canonical512_smoothing_medium.png,5952278b96a9f9bcc17c1aaa8d0649e5d4a151b3141caf9df987e06327afcf01,OK_GENERATED,
repl0001_clean,DF40-cdf-DiT,27001,canonical_512,whitening_medium,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,512x512,2,"194.8,151.2,261.2,321.6","224x224 (pipeline.py transform_infer, applied uniformly at inference)","{'strength': 'medium', 'lab_L_shift_fraction': 0.15}","N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\results\research\p1_r1_5_resolution_causal_audit_20260814\resolution_controlled_images\repl0001_clean_canonical512_whitening_medium.png,2e84b8ace3f70e6ec23c679fe31afb5431d81dc76d29bbaea7c464ae93c3fc0d,OK_GENERATED,
repl0001_clean,DF40-cdf-DiT,27001,canonical_512,eye_enlarging,fcb579cb9ca826bc8939e403a39c92c511bbd611da0e96d4a70d3d5322d5ab03,256x256,512x512,2,"194.8,151.2,261.2,321.6","224x224 (pipeline.py transform_infer, applied uniformly at inference)","{'scale': 1.18, 'radius_factor': 1.7}","N/A at storage time (PNG, lossless); pipeline.py's preprocess_jpeg(quality=85) applied uniformly at inference time for ALL resolution conditions, see p1_r1_5_score_resolution_conditions.py",C:\My_Project\AIGC\results\research\p1_r1_5_resolution_causal_audit_20260814\resolution_controlled_images\repl0001_clean_canonical512_eye_enlarging.png,dbe7d9b5329319657a465eb8275e3afdc93c2b4026e39314f97fad91688a1a24,OK_GENERATED,
